"action_type","lat","lon","playoffs","season","shot_distance","shot_made_flag","shot_type","opponent","attendance","arena_temp","avgnoisedb","time_remaining_period","game_time"
"Jump Shot",34.0483,-118.4588,0,"2000",18,0,"2PT Field Goal","LAC",16092,70,95.2,604,116
"Jump Shot",33.8503,-118.4248,0,"2000",24,0,"3PT Field Goal","LAC",16092,70,95.2,153,567
"Jump Shot",33.8163,-118.2688,0,"2000",22,1,"3PT Field Goal","LAC",16092,70,95.2,686,754
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","LAC",16092,70,95.2,520,920
"Slam Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","LAC",16092,70,95.2,245,1195
"Jump Shot",33.9363,-118.3028,0,"2000",11,0,"2PT Field Goal","LAC",16092,70,95.2,122,1318
"Layup Shot",33.9953,-118.2478,0,"2000",5,1,"2PT Field Goal","LAC",16092,70,95.2,47,1393
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","LAC",16092,70,95.2,572,1588
"Driving Layup Shot",34.0233,-118.2138,0,"2000",5,0,"2PT Field Goal","LAC",16092,70,95.2,37,2123
"Running Jump Shot",34.0183,-118.1488,0,"2000",12,1,"2PT Field Goal","LAC",16092,70,95.2,1,2159
"Jump Shot",33.9873,-118.0388,0,"2000",23,0,"3PT Field Goal","HOU",16025,70,92.22,497,223
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","HOU",16025,70,92.22,473,247
"Driving Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","HOU",16025,70,92.22,421,299
"Jump Shot",33.7873,-118.2628,0,"2000",25,1,"3PT Field Goal","HOU",16025,70,92.22,191,529
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","HOU",16025,70,92.22,476,964
"Jump Shot",33.9873,-118.2188,0,"2000",7,0,"2PT Field Goal","HOU",16025,70,92.22,160,1280
"Jump Shot",33.8543,-118.1028,0,"2000",25,0,"3PT Field Goal","HOU",16025,70,92.22,10,1430
"Jump Shot",33.8543,-118.3888,0,"2000",22,1,"2PT Field Goal","HOU",16025,70,92.22,662,1498
"Jump Shot",33.9873,-118.2538,0,"2000",5,0,"2PT Field Goal","HOU",16025,70,92.22,550,1610
"Jump Shot",33.9343,-118.3538,0,"2000",13,0,"2PT Field Goal","HOU",16025,70,92.22,444,1716
"Jump Shot",34.0023,-118.3408,0,"2000",8,0,"2PT Field Goal","HOU",16025,70,92.22,1,2159
"Jump Shot",33.9113,-118.2398,0,"2000",13,1,"2PT Field Goal","HOU",16025,70,92.22,301,2579
"Jump Shot",33.8883,-118.2688,0,"2000",15,0,"2PT Field Goal","HOU",16025,70,92.22,46,2834
"Jump Shot",33.8333,-118.1378,0,"2000",24,0,"3PT Field Goal","SAS",13750,68,93.33,701,19
"Slam Dunk Shot",34.0403,-118.2778,0,"2000",0,0,"2PT Field Goal","SAS",13750,68,93.33,659,61
"Jump Shot",33.9173,-118.1378,0,"2000",18,1,"2PT Field Goal","SAS",13750,68,93.33,396,324
"Jump Shot",33.8563,-118.2988,0,"2000",19,1,"2PT Field Goal","SAS",13750,68,93.33,354,366
"Jump Shot",33.9683,-118.1298,0,"2000",15,1,"2PT Field Goal","SAS",13750,68,93.33,144,576
"Turnaround Jump Shot",34.0443,-118.1298,0,"2000",14,1,"2PT Field Goal","SAS",13750,68,93.33,108,612
"Jump Shot",33.8883,-118.2708,0,"2000",15,1,"2PT Field Goal","SAS",13750,68,93.33,85,635
"Jump Shot",34.0403,-118.4208,0,"2000",15,1,"2PT Field Goal","SAS",13750,68,93.33,47,673
"Jump Shot",33.9683,-118.1598,0,"2000",13,0,"2PT Field Goal","SAS",13750,68,93.33,657,783
"Jump Shot",33.9573,-118.1378,0,"2000",15,0,"2PT Field Goal","SAS",13750,68,93.33,577,863
"Jump Shot",33.7933,-118.3278,0,"2000",25,1,"3PT Field Goal","SAS",13750,68,93.33,230,1210
"Jump Shot",33.8843,-118.3638,0,"2000",18,1,"2PT Field Goal","SAS",13750,68,93.33,195,1245
"Jump Shot",33.8943,-118.4628,0,"2000",24,0,"3PT Field Goal","SAS",13750,68,93.33,53,1387
"Jump Shot",34.0443,-118.1298,0,"2000",14,1,"2PT Field Goal","SAS",13750,68,93.33,48,1392
"Jump Shot",34.0353,-118.2308,0,"2000",4,0,"2PT Field Goal","SAS",13750,68,93.33,686,1474
"Jump Shot",33.8943,-118.2458,0,"2000",15,0,"2PT Field Goal","SAS",13750,68,93.33,560,1600
"Slam Dunk Shot",34.0443,-118.2708,0,"2000",0,1,"2PT Field Goal","SAS",13750,68,93.33,473,1687
"Jump Shot",33.9113,-118.1508,0,"2000",17,1,"2PT Field Goal","SAS",13750,68,93.33,400,1760
"Jump Shot",34.0253,-118.1508,0,"2000",12,0,"2PT Field Goal","SAS",13750,68,93.33,180,1980
"Jump Shot",34.0023,-118.4628,0,"2000",19,0,"2PT Field Goal","SAS",13750,68,93.33,48,2112
"Jump Shot",33.9893,-118.4358,0,"2000",17,0,"2PT Field Goal","SAS",13750,68,93.33,21,2139
"Jump Shot",33.9283,-118.2458,0,"2000",11,0,"2PT Field Goal","SAS",13750,68,93.33,639,2241
"Jump Shot",33.8883,-118.3348,0,"2000",16,0,"2PT Field Goal","SAS",13750,68,93.33,428,2452
"Turnaround Jump Shot",34.0183,-118.4358,0,"2000",16,1,"2PT Field Goal","SAS",13750,68,93.33,385,2495
"Jump Shot",33.9683,-118.3278,0,"2000",9,0,"2PT Field Goal","SAS",13750,68,93.33,314,2566
"Jump Shot",33.9743,-118.3068,0,"2000",7,0,"2PT Field Goal","SAS",13750,68,93.33,218,2662
"Jump Shot",33.8563,-118.3638,0,"2000",21,0,"2PT Field Goal","HOU",15229,71,95.42,669,51
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","HOU",15229,71,95.42,617,103
"Reverse Layup Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","HOU",15229,71,95.42,563,157
"Tip Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","HOU",15229,71,95.42,561,159
"Slam Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","HOU",15229,71,95.42,182,538
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","HOU",15229,71,95.42,44,676
"Jump Shot",33.9033,-118.1848,0,"2000",16,0,"2PT Field Goal","HOU",15229,71,95.42,21,699
"Jump Shot",33.8863,-118.3578,0,"2000",18,1,"2PT Field Goal","HOU",15229,71,95.42,530,910
"Driving Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","HOU",15229,71,95.42,498,942
"Running Hook Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","HOU",15229,71,95.42,30,1410
"Jump Shot",33.7683,-118.2688,0,"2000",27,1,"3PT Field Goal","HOU",15229,71,95.42,4,1436
"Jump Shot",34.0523,-118.1148,0,"2000",15,1,"2PT Field Goal","HOU",15229,71,95.42,518,1642
"Jump Shot",34.0313,-118.4248,0,"2000",15,1,"2PT Field Goal","HOU",15229,71,95.42,318,1842
"Jump Shot",33.9113,-118.3538,0,"2000",15,0,"2PT Field Goal","HOU",15229,71,95.42,274,1886
"Jump Shot",34.0523,-118.4478,0,"2000",17,0,"2PT Field Goal","HOU",15229,71,95.42,231,1929
"Jump Shot",33.9553,-118.2538,0,"2000",9,0,"2PT Field Goal","HOU",15229,71,95.42,220,1940
"Jump Shot",33.9383,-118.3178,0,"2000",11,1,"2PT Field Goal","HOU",15229,71,95.42,213,1947
"Jump Shot",34.0313,-118.4398,0,"2000",17,0,"2PT Field Goal","HOU",15229,71,95.42,125,2035
"Jump Shot",33.9113,-118.3888,0,"2000",17,0,"2PT Field Goal","HOU",15229,71,95.42,14,2146
"Jump Shot",34.0043,-118.2608,0,"2000",4,0,"2PT Field Goal","HOU",15229,71,95.42,652,2228
"Jump Shot",33.9623,-118.3538,0,"2000",11,0,"2PT Field Goal","HOU",15229,71,95.42,394,2486
"Jump Shot",33.9853,-118.2608,0,"2000",5,0,"2PT Field Goal","HOU",15229,71,95.42,297,2583
"Driving Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","HOU",15229,71,95.42,208,2672
"Running Jump Shot",33.9853,-118.2608,0,"2000",5,1,"2PT Field Goal","HOU",15229,71,95.42,98,2782
"Tip Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","HOU",15229,71,95.42,63,2817
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","DEN",14773,71,91.64,463,257
"Alley Oop Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","DEN",14773,71,91.64,188,532
"Jump Shot",34.0483,-118.1408,0,"2000",12,1,"2PT Field Goal","DEN",14773,71,91.64,145,575
"Jump Shot",33.9473,-118.3678,0,"2000",13,1,"2PT Field Goal","DEN",14773,71,91.64,48,672
"Jump Shot",33.9663,-118.1028,0,"2000",18,0,"2PT Field Goal","DEN",14773,71,91.64,676,764
"Jump Shot",33.7953,-118.1618,0,"2000",27,0,"3PT Field Goal","DEN",14773,71,91.64,619,821
"Running Jump Shot",33.8693,-118.1698,0,"2000",20,1,"2PT Field Goal","DEN",14773,71,91.64,547,893
"Layup Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","DEN",14773,71,91.64,114,1326
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","DEN",14773,71,91.64,28,1412
"Jump Shot",33.8753,-118.1548,0,"2000",20,0,"2PT Field Goal","DEN",14773,71,91.64,623,1537
"Jump Shot",33.9723,-118.2688,0,"2000",7,0,"2PT Field Goal","DEN",14773,71,91.64,323,1837
"Driving Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","DEN",14773,71,91.64,37,2123
"Jump Shot",33.8143,-118.1568,0,"2000",25,1,"3PT Field Goal","DEN",14773,71,91.64,703,2177
"Layup Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","DEN",14773,71,91.64,628,2252
"Slam Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","DEN",14773,71,91.64,611,2269
"Layup Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","DEN",14773,71,91.64,337,2543
"Jump Shot",33.8503,-118.1718,0,"2000",21,1,"2PT Field Goal","SAC",13184,67,93.81,702,18
"Jump Shot",33.8603,-118.3868,0,"2000",21,0,"2PT Field Goal","SAC",13184,67,93.81,667,53
"Jump Shot",34.0463,-118.4378,0,"2000",16,0,"2PT Field Goal","SAC",13184,67,93.81,533,187
"Jump Shot",34.0083,-118.1998,0,"2000",7,0,"2PT Field Goal","SAC",13184,67,93.81,496,224
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","SAC",13184,67,93.81,463,257
"Jump Shot",34.0023,-118.3068,0,"2000",5,1,"2PT Field Goal","SAC",13184,67,93.81,167,553
"Jump Shot",33.9283,-118.1068,0,"2000",20,0,"2PT Field Goal","SAC",13184,67,93.81,65,655
"Jump Shot",33.8653,-118.1568,0,"2000",21,1,"2PT Field Goal","SAC",13184,67,93.81,493,947
"Jump Shot",34.0463,-118.1008,0,"2000",16,1,"2PT Field Goal","SAC",13184,67,93.81,387,1053
"Jump Shot",33.8883,-118.1788,0,"2000",18,0,"2PT Field Goal","SAC",13184,67,93.81,52,1388
"Jump Shot",33.9513,-118.1358,0,"2000",16,0,"2PT Field Goal","SAC",13184,67,93.81,19,1421
"Jump Shot",33.5673,-118.2228,0,"2000",47,0,"3PT Field Goal","SAC",13184,67,93.81,0,1440
"Jump Shot",33.9073,-118.2588,0,"2000",13,0,"2PT Field Goal","SAC",13184,67,93.81,532,1628
"Jump Shot",34.0313,-118.0708,0,"2000",19,0,"2PT Field Goal","SAC",13184,67,93.81,175,1985
"Jump Shot",33.8083,-118.1928,0,"2000",24,0,"3PT Field Goal","SAC",13184,67,93.81,1,2159
"Jump Shot",33.7973,-118.2588,0,"2000",24,0,"3PT Field Goal","SAC",13184,67,93.81,558,2322
"Jump Shot",33.8143,-118.3728,0,"2000",25,0,"3PT Field Goal","SAC",13184,67,93.81,343,2537
"Jump Shot",33.7973,-118.3008,0,"2000",24,1,"3PT Field Goal","SAC",13184,67,93.81,2,2878
"Jump Shot",33.9453,-118.2798,0,"2000",9,1,"2PT Field Goal","SAC",13184,67,93.81,125,3475
"Jump Shot",33.9443,-118.2568,0,"2000",10,0,"2PT Field Goal","SAC",13184,67,93.81,127,3473
"Jump Shot",33.8443,-118.3428,0,"2000",21,1,"2PT Field Goal","SAC",13184,67,93.81,24,3576
"Jump Shot",33.8603,-118.3468,0,"2000",19,1,"2PT Field Goal","DEN",16017,69,98.64,605,115
"Jump Shot",33.8673,-118.0818,0,"2000",25,0,"3PT Field Goal","DEN",16017,69,98.64,547,173
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","DEN",16017,69,98.64,495,225
"Jump Shot",33.9073,-118.3978,0,"2000",18,0,"2PT Field Goal","DEN",16017,69,98.64,262,458
"Alley Oop Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","DEN",16017,69,98.64,249,471
"Jump Shot",33.9513,-118.2688,0,"2000",9,0,"2PT Field Goal","DEN",16017,69,98.64,679,761
"Jump Shot",33.8843,-118.1548,0,"2000",19,1,"2PT Field Goal","DEN",16017,69,98.64,411,1029
"Jump Shot",33.8443,-118.1108,0,"2000",25,1,"3PT Field Goal","DEN",16017,69,98.64,371,1069
"Jump Shot",34.0443,-118.1028,0,"2000",16,0,"2PT Field Goal","DEN",16017,69,98.64,21,1419
"Jump Shot",33.7993,-118.4318,0,"2000",29,0,"3PT Field Goal","DEN",16017,69,98.64,677,1483
"Jump Shot",34.0503,-118.1028,0,"2000",16,0,"2PT Field Goal","DEN",16017,69,98.64,515,1645
"Jump Shot",33.8943,-118.2738,0,"2000",15,1,"2PT Field Goal","DEN",16017,69,98.64,384,1776
"Jump Shot",34.0353,-118.4548,0,"2000",18,1,"2PT Field Goal","DEN",16017,69,98.64,301,1859
"Jump Shot",34.0253,-118.0328,0,"2000",23,1,"3PT Field Goal","DEN",16017,69,98.64,201,1959
"Jump Shot",34.0253,-118.4988,0,"2000",22,1,"3PT Field Goal","DEN",16017,69,98.64,47,2113
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","DEN",16017,69,98.64,670,2210
"Reverse Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","DEN",16017,69,98.64,430,2450
"Jump Shot",33.9623,-118.2328,0,"2000",8,1,"2PT Field Goal","DEN",16017,69,98.64,78,2802
"Jump Shot",33.9573,-118.3118,0,"2000",9,0,"2PT Field Goal","DEN",16017,69,98.64,46,2834
"Jump Shot",33.7973,-118.2418,0,"2000",24,0,"3PT Field Goal","CHI",15396,70,93.19,543,177
"Jump Shot",33.9473,-118.2628,0,"2000",9,0,"2PT Field Goal","CHI",15396,70,93.19,370,350
"Slam Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","CHI",15396,70,93.19,190,530
"Layup Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","CHI",15396,70,93.19,13,707
"Slam Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","CHI",15396,70,93.19,444,996
"Jump Shot",33.9093,-118.1548,0,"2000",17,0,"2PT Field Goal","CHI",15396,70,93.19,363,1077
"Jump Shot",33.8603,-118.1278,0,"2000",23,0,"2PT Field Goal","CHI",15396,70,93.19,44,1396
"Slam Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","CHI",15396,70,93.19,684,1476
"Layup Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","CHI",15396,70,93.19,619,1541
"Jump Shot",33.8813,-118.1908,0,"2000",18,0,"2PT Field Goal","CHI",15396,70,93.19,585,1575
"Jump Shot",33.9033,-118.1278,0,"2000",20,1,"2PT Field Goal","CHI",15396,70,93.19,442,1718
"Jump Shot",33.9193,-118.2398,0,"2000",12,0,"2PT Field Goal","CHI",15396,70,93.19,403,1757
"Running Jump Shot",33.9473,-118.3298,0,"2000",11,1,"2PT Field Goal","CHI",15396,70,93.19,295,1865
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","CHI",15396,70,93.19,94,2066
"Jump Shot",33.7993,-118.1548,0,"2000",27,0,"3PT Field Goal","CHI",15396,70,93.19,673,2207
"Jump Shot",33.8603,-118.4018,0,"2000",22,0,"2PT Field Goal","CHI",15396,70,93.19,652,2228
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","CHI",15396,70,93.19,612,2268
"Layup Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","CHI",15396,70,93.19,608,2272
"Running Jump Shot",33.9683,-118.2948,0,"2000",8,1,"2PT Field Goal","CHI",15396,70,93.19,140,2740
"Jump Shot",33.9363,-118.4148,0,"2000",18,0,"2PT Field Goal","CHI",15396,70,93.19,97,2783
"Jump Shot",34.0733,-118.4778,0,"2000",21,0,"2PT Field Goal","CHI",15396,70,93.19,31,2849
"Jump Shot",33.8963,-118.3748,0,"2000",18,1,"2PT Field Goal","GSW",16891,71,101.35,605,115
"Jump Shot",33.8693,-118.3178,0,"2000",18,0,"2PT Field Goal","GSW",16891,71,101.35,480,240
"Jump Shot",33.7973,-118.3468,0,"2000",25,0,"3PT Field Goal","GSW",16891,71,101.35,298,422
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","GSW",16891,71,101.35,156,564
"Layup Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","GSW",16891,71,101.35,140,580
"Slam Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","GSW",16891,71,101.35,128,592
"Jump Shot",33.8183,-118.1278,0,"2000",26,1,"3PT Field Goal","GSW",16891,71,101.35,103,617
"Alley Oop Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","GSW",16891,71,101.35,617,823
"Jump Shot",33.8733,-118.3328,0,"2000",18,1,"2PT Field Goal","GSW",16891,71,101.35,556,884
"Alley Oop Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","GSW",16891,71,101.35,214,1226
"Jump Shot",33.8693,-118.2058,0,"2000",18,1,"2PT Field Goal","GSW",16891,71,101.35,150,1290
"Driving Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","GSW",16891,71,101.35,592,1568
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","GSW",16891,71,101.35,552,1608
"Jump Shot",33.8083,-118.1548,0,"2000",26,1,"3PT Field Goal","GSW",16891,71,101.35,391,1769
"Dunk Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","GSW",16891,71,101.35,369,1791
"Turnaround Jump Shot",34.0373,-118.1068,0,"2000",16,0,"2PT Field Goal","GSW",16891,71,101.35,320,1840
"Layup Shot",34.0443,-118.2698,0,"2000",0,0,"2PT Field Goal","GSW",16891,71,101.35,126,2034
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","GSW",16891,71,101.35,120,2040
"Layup Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","GSW",16891,71,101.35,86,2074
"Jump Shot",34.0043,-118.2058,0,"2000",7,0,"2PT Field Goal","MIN",15954,71,95.3,633,87
"Running Jump Shot",34.0463,-118.3748,0,"2000",10,1,"2PT Field Goal","MIN",15954,71,95.3,453,267
"Reverse Layup Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","MIN",15954,71,95.3,352,368
"Jump Shot",33.9493,-118.2058,0,"2000",11,1,"2PT Field Goal","MIN",15954,71,95.3,236,484
"Jump Shot",34.0423,-118.4018,0,"2000",13,1,"2PT Field Goal","MIN",15954,71,95.3,64,656
"Jump Shot",34.0273,-118.1968,0,"2000",7,0,"2PT Field Goal","MIN",15954,71,95.3,653,1507
"Dunk Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","MIN",15954,71,95.3,585,1575
"Jump Shot",33.8903,-118.4018,0,"2000",20,0,"2PT Field Goal","MIN",15954,71,95.3,384,1776
"Layup Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","MIN",15954,71,95.3,358,1802
"Jump Shot",34.0213,-118.0348,0,"2000",23,0,"3PT Field Goal","MIN",15954,71,95.3,162,1998
"Jump Shot",33.8693,-118.2418,0,"2000",17,1,"2PT Field Goal","MIN",15954,71,95.3,21,2139
"Jump Shot",33.8733,-118.0858,0,"2000",25,1,"3PT Field Goal","MIN",15954,71,95.3,698,2182
"Running Jump Shot",33.9833,-118.1428,0,"2000",14,0,"2PT Field Goal","MIN",15954,71,95.3,590,2290
"Turnaround Jump Shot",33.9553,-118.2418,0,"2000",9,1,"2PT Field Goal","MIN",15954,71,95.3,576,2304
"Jump Shot",33.8313,-118.3538,0,"2000",22,1,"2PT Field Goal","MIN",15954,71,95.3,450,2430
"Running Jump Shot",33.9003,-118.3888,0,"2000",18,1,"2PT Field Goal","MIN",15954,71,95.3,324,2556
"Running Jump Shot",33.9343,-118.2698,0,"2000",11,0,"2PT Field Goal","LAC",16833,72,97.43,625,95
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","LAC",16833,72,97.43,434,286
"Jump Shot",33.9643,-118.1428,0,"2000",15,0,"2PT Field Goal","LAC",16833,72,97.43,377,343
"Jump Shot",33.8253,-118.4128,0,"2000",26,1,"3PT Field Goal","LAC",16833,72,97.43,344,376
"Jump Shot",33.9033,-118.1928,0,"2000",16,1,"2PT Field Goal","LAC",16833,72,97.43,438,1002
"Running Jump Shot",33.9743,-118.2758,0,"2000",7,1,"2PT Field Goal","LAC",16833,72,97.43,395,1045
"Driving Layup Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","LAC",16833,72,97.43,128,1312
"Layup Shot",34.0443,-118.2698,0,"2000",0,1,"2PT Field Goal","LAC",16833,72,97.43,99,1341
"Jump Shot",33.8293,-118.1258,0,"2000",25,1,"3PT Field Goal","LAC",16833,72,97.43,36,1404
"Jump Shot",33.8673,-118.3328,0,"2000",18,0,"2PT Field Goal","LAC",16833,72,97.43,684,1476
"Jump Shot",33.7853,-118.1698,0,"2000",27,0,"3PT Field Goal","LAC",16833,72,97.43,440,1720
"Turnaround Jump Shot",33.9663,-118.3178,0,"2000",9,1,"2PT Field Goal","LAC",16833,72,97.43,293,1867
"Jump Shot",33.8463,-118.1168,0,"2000",25,0,"3PT Field Goal","LAC",16833,72,97.43,222,1938
