action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,attendance,arena_temp,avgnoisedb,rannum,action_type_int,combined_shot_type_int,shot_type_int,shot_zone_are_int,shot_zone_basic_int,shot_zone_range_int,opponent_int,time_remaining_period,game_time,log_lat,log_shot_distance,log_loc_y,season,Obs,shot_not_made_probability,shot_made_probability,_INTO_
Layup Shot,Layup,219,20000047,34.0403,7,4,-118.2628,10,3,0,13,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,42,14081,72,95.09,36,27,5,1,2,6,5,32,613,1547,3.5275451168,-6.907755279,3.8918202981,2000,32,0.2720797839,0.7279202161,1
Jump Shot,Jump Shot,233,20000047,34.0293,49,15,-118.2208,8,3,0,29,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,44,14081,72,95.09,38,26,4,1,2,3,5,32,509,1651,3.5272219182,1.6096378924,4.0943445622,2000,34,0.4451366481,0.5548633519,1
Reverse Dunk Shot,Dunk,295,20000047,34.0403,-4,4,-118.2738,2,3,0,55,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,47,14081,72,95.09,40,33,2,1,2,6,5,32,175,1985,3.5275451168,-6.907755279,3.8918202981,2000,36,0.2702565361,0.7297434639,1
Jump Shot,Jump Shot,398,20000047,33.9243,121,120,-118.1488,4,4,0,55,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,49,14081,72,95.09,42,26,4,1,5,5,1,32,295,2585,3.5241315718,2.8332721659,5.1059454739,2000,38,0.497079739,0.502920261,1
Layup Shot,Layup,446,20000047,34.0353,-12,9,-118.2818,1,4,0,6,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/4/2000,LAL @ VAN,VAN,52,14081,72,95.09,44,27,5,1,2,6,5,32,66,2814,3.5273982213,0.0009995003,3.9889840466,2000,40,0.4516042744,0.5483957256,1
Jump Shot,Jump Shot,11,20000049,34.0483,-189,-4,-118.4588,10,1,0,4,18,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,54,16092,70,95.2,54,26,4,1,4,5,1,13,604,116,3.5277801048,2.8904273119,3.7135720667,2000,42,0.590053811,0.409946189,0
Jump Shot,Jump Shot,105,20000049,33.8163,1,228,-118.2688,11,2,0,26,22,1,3PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,57,16092,70,95.2,56,26,4,2,2,5,1,13,686,754,3.5209429348,3.0910879069,5.6094717952,2000,44,0.6167688934,0.3832311066,0
Slam Dunk Shot,Dunk,190,20000049,34.0443,0,0,-118.2698,4,2,0,5,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,59,16092,70,95.2,58,47,2,1,2,6,5,13,245,1195,3.5276626177,-6.907755279,3.8066624898,2000,46,0.30210281,0.69789719,1
Layup Shot,Layup,232,20000049,33.9953,22,49,-118.2478,0,2,0,47,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,62,16092,70,95.2,60,27,5,1,2,3,5,13,47,1393,3.5262222798,1.6096378924,4.5432947823,2000,48,0.4889571792,0.5110428208,1
Driving Layup Shot,Layup,353,20000049,34.0233,56,21,-118.2138,0,3,0,37,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/5/2000,LAL vs. LAC,LAC,64,16092,70,95.2,62,12,5,1,2,3,5,13,37,2123,3.527045584,1.6096378924,4.189654742,2000,50,0.5311116424,0.4688883576,0
Jump Shot,Jump Shot,28,20000058,33.9873,231,57,-118.0388,8,1,0,17,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,68,16025,70,92.22,67,26,4,2,6,7,2,11,497,223,3.5259869254,3.1355376932,4.6249728133,2000,52,0.5822080629,0.4177919371,0
Driving Dunk Shot,Dunk,41,20000058,34.0443,0,0,-118.2698,7,1,0,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,70,16025,70,92.22,69,5,2,1,2,6,5,11,421,299,3.5276626177,-6.907755279,3.8066624898,2000,54,0.3614649374,0.6385350626,1
Driving Layup Shot,Layup,131,20000058,34.0443,0,0,-118.2698,7,2,0,56,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,73,16025,70,92.22,71,12,5,1,2,6,5,11,476,964,3.5276626177,-6.907755279,3.8066624898,2000,56,0.3238120664,0.6761879336,1
Jump Shot,Jump Shot,201,20000058,33.8543,167,190,-118.1028,0,2,0,10,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,75,16025,70,92.22,73,26,4,2,5,1,2,11,10,1430,3.5220660223,3.2189158241,5.4595855141,2000,58,0.6395626679,0.3604373321,0
Jump Shot,Jump Shot,225,20000058,33.9873,16,57,-118.2538,9,3,0,10,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,77,16025,70,92.22,75,26,4,1,2,3,5,11,550,1610,3.5259869254,1.6096378924,4.6249728133,2000,60,0.4770594631,0.5229405369,1
Jump Shot,Jump Shot,306,20000058,34.0023,-71,42,-118.3408,0,3,0,1,8,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,79,16025,70,92.22,77,26,4,1,4,3,3,11,1,2159,3.5264281694,2.0795665339,4.4659081187,2000,62,0.5537783337,0.4462216663,0
Jump Shot,Jump Shot,425,20000058,33.8883,1,156,-118.2688,0,4,0,46,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/7/2000,LAL @ HOU,HOU,82,16025,70,92.22,79,26,4,1,2,5,3,11,46,2834,3.5230698221,2.7081168655,5.3033049081,2000,64,0.5492914357,0.4507085643,0
Slam Dunk Shot,Dunk,11,20000068,34.0403,-8,4,-118.2778,10,1,0,59,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,84,13750,68,93.33,84,47,2,1,2,6,5,28,659,61,3.5275451168,-6.907755279,3.8918202981,2000,66,0.2616711926,0.7383288074,1
Jump Shot,Jump Shot,44,20000068,33.8563,-29,188,-118.2988,5,1,0,54,19,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,88,13750,68,93.33,86,26,4,1,2,5,1,28,354,366,3.5221250973,2.9444916094,5.4510384536,2000,68,0.5667647831,0.4332352169,0
Turnaround Jump Sho,Jump Shot,74,20000068,34.0443,140,0,-118.1298,1,1,0,48,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,90,13750,68,93.33,88,55,4,1,6,5,3,28,108,612,3.5276626177,2.6391287556,3.8066624898,2000,70,0.5119662044,0.4880337956,0
Jump Shot,Jump Shot,82,20000068,34.0403,-151,4,-118.4208,0,1,0,47,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,92,13750,68,93.33,90,26,4,1,4,5,3,28,47,673,3.5275451168,2.7081168655,3.8918202981,2000,72,0.5754736475,0.4245263525,0
Jump Shot,Jump Shot,115,20000068,33.9573,132,87,-118.1378,9,2,0,37,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,94,13750,68,93.33,92,26,4,1,6,5,3,28,577,863,3.525103853,2.7081168655,4.8828019226,2000,74,0.5066419602,0.4933580398,0
Jump Shot,Jump Shot,192,20000068,33.8843,-94,160,-118.3638,3,2,0,15,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,97,13750,68,93.33,94,26,4,1,3,5,1,28,195,1245,3.5229517803,2.8904273119,5.3230099791,2000,76,0.5870891346,0.4129108654,0
Jump Shot,Jump Shot,217,20000068,34.0443,140,0,-118.1298,0,2,0,48,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,99,13750,68,93.33,96,26,4,1,6,5,3,28,48,1392,3.5276626177,2.6391287556,3.8066624898,2000,78,0.5666836944,0.4333163056,0
Jump Shot,Jump Shot,241,20000068,33.8943,24,150,-118.2458,9,3,0,20,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,101,13750,68,93.33,98,26,4,1,2,5,3,28,560,1600,3.5232468587,2.7081168655,5.2729995586,2000,80,0.5307885326,0.4692114674,0
Jump Shot,Jump Shot,262,20000068,33.9113,119,133,-118.1508,6,3,0,40,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,103,13750,68,93.33,100,26,4,1,5,5,1,28,400,1760,3.5237482922,2.8332721659,5.1817835503,2000,82,0.546231869,0.453768131,0
Jump Shot,Jump Shot,314,20000068,34.0023,-193,42,-118.4628,0,3,0,48,19,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,106,13750,68,93.33,102,26,4,1,4,5,1,28,48,2112,3.5264281694,2.9444916094,4.4659081187,2000,84,0.5776571073,0.4223428927,0
Jump Shot,Jump Shot,339,20000068,33.9283,24,116,-118.2458,10,4,0,39,11,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,108,13750,68,93.33,104,26,4,1,2,3,3,28,639,2241,3.5242494744,2.3979861778,5.081404365,2000,86,0.5019495454,0.4980504546,0
Turnaround Jump Sho,Jump Shot,370,20000068,34.0183,-166,26,-118.4358,6,4,0,25,16,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,110,13750,68,93.33,106,55,4,1,4,5,1,28,385,2495,3.5268986151,2.7726512203,4.262679877,2000,88,0.5181166199,0.4818833801,0
Jump Shot,Jump Shot,395,20000068,33.9743,-37,70,-118.3068,3,4,0,38,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/8/2000,LAL @ SAS,SAS,112,13750,68,93.33,108,26,4,1,2,3,5,28,218,2662,3.5256043564,1.946052996,4.7449321284,2000,90,0.4977207966,0.5022792034,1
Driving Layup Shot,Layup,11,20000098,34.0443,0,0,-118.2698,10,1,0,17,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,115,15229,71,95.42,115,12,5,1,2,6,5,11,617,103,3.5276626177,-6.907755279,3.8066624898,2000,92,0.3228988775,0.6771011225,1
Tip Shot,Tip Shot,20,20000098,34.0443,0,0,-118.2698,9,1,0,21,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,117,15229,71,95.42,117,50,6,1,2,6,5,11,561,159,3.5276626177,-6.907755279,3.8066624898,2000,94,0.2683791695,0.7316208305,1
Driving Layup Shot,Layup,130,20000098,34.0443,0,0,-118.2698,0,1,0,44,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,119,15229,71,95.42,119,12,5,1,2,6,5,11,44,676,3.5276626177,-6.907755279,3.8066624898,2000,96,0.3437725046,0.6562274954,1
Jump Shot,Jump Shot,170,20000098,33.8863,-88,158,-118.3578,8,2,0,50,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,121,15229,71,95.42,121,26,4,1,3,5,1,11,530,910,3.5230108029,2.8904273119,5.313205979,2000,98,0.5346977264,0.4653022736,0
Running Hook Shot,Hook Shot,236,20000098,34.0443,0,0,-118.2698,0,2,0,30,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,124,15229,71,95.42,123,40,3,1,2,6,5,11,30,1410,3.5276626177,-6.907755279,3.8066624898,2000,100,0.3068768889,0.6931231111,1
Jump Shot,Jump Shot,274,20000098,34.0523,155,-8,-118.1148,8,3,0,38,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,127,15229,71,95.42,125,26,4,1,6,5,3,11,518,1642,3.527897578,2.7081168655,3.6109179126,2000,102,0.5402755741,0.4597244259,0
Jump Shot,Jump Shot,309,20000098,33.9113,-84,133,-118.3538,4,3,0,34,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,129,15229,71,95.42,127,26,4,1,4,5,3,11,274,1886,3.5237482922,2.7081168655,5.1817835503,2000,104,0.5276785125,0.4723214875,0
Jump Shot,Jump Shot,320,20000098,33.9553,16,89,-118.2538,3,3,0,40,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,131,15229,71,95.42,129,26,4,1,2,3,3,11,220,1940,3.5250449537,2.1973356823,4.8978398,2000,106,0.5056927212,0.4943072788,0
Jump Shot,Jump Shot,340,20000098,34.0313,-170,13,-118.4398,2,3,0,5,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,134,15229,71,95.42,131,26,4,1,4,5,1,11,125,2035,3.5272806894,2.8332721659,4.0604430105,2000,108,0.5900943351,0.4099056649,0
Jump Shot,Jump Shot,381,20000098,34.0043,9,40,-118.2608,10,4,0,52,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,136,15229,71,95.42,133,26,4,1,2,3,5,11,652,2228,3.5264869872,1.3865443299,4.4426512565,2000,110,0.4396412645,0.5603587355,1
Jump Shot,Jump Shot,444,20000098,33.9853,9,59,-118.2608,4,4,0,57,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,138,15229,71,95.42,135,26,4,1,2,3,5,11,297,2583,3.5259280782,1.6096378924,4.6443908991,2000,112,0.4603860715,0.5396139285,1
Running Jump Shot,Jump Shot,488,20000098,33.9853,9,59,-118.2608,1,4,0,38,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,140,15229,71,95.42,137,41,4,1,2,3,5,11,98,2782,3.5259280782,1.6096378924,4.6443908991,2000,114,0.4554267859,0.5445732141,1
Driving Layup Shot,Layup,34,20000108,34.0443,0,0,-118.2698,7,1,0,43,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,143,14773,71,91.64,143,12,5,1,2,6,5,8,463,257,3.5276626177,-6.907755279,3.8066624898,2000,116,0.3232901283,0.6767098717,1
Jump Shot,Jump Shot,86,20000108,34.0483,129,-4,-118.1408,2,1,0,25,12,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,146,14773,71,91.64,145,26,4,1,6,5,3,8,145,575,3.5277801048,2.4849899796,3.7135720667,2000,118,0.5620728063,0.4379271937,0
Jump Shot,Jump Shot,108,20000108,33.9663,167,78,-118.1028,11,2,0,16,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,148,14773,71,91.64,147,26,4,1,6,5,1,8,676,764,3.5253688566,2.8904273119,4.8121843554,2000,120,0.5211781436,0.4788218564,0
Running Jump Shot,Jump Shot,129,20000108,33.8693,100,175,-118.1698,9,2,0,7,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,151,14773,71,91.64,149,41,4,1,5,5,1,8,547,893,3.5225089994,2.9957822723,5.3936275464,2000,122,0.5305539282,0.4694460718,0
Driving Layup Shot,Layup,219,20000108,34.0443,0,0,-118.2698,0,2,0,28,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,155,14773,71,91.64,151,12,5,1,2,6,5,8,28,1412,3.5276626177,-6.907755279,3.8066624898,2000,124,0.3542634018,0.6457365982,1
Jump Shot,Jump Shot,303,20000108,33.9723,1,72,-118.2688,5,3,0,23,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,158,14773,71,91.64,153,26,4,1,2,3,5,8,323,1837,3.5255454867,1.946052996,4.7621739348,2000,126,0.4848152123,0.5151847877,1
Jump Shot,Jump Shot,360,20000108,33.8143,113,230,-118.1568,11,4,0,43,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,161,14773,71,91.64,155,26,4,2,5,1,2,8,703,2177,3.5208837899,3.2189158241,5.6167710977,2000,128,0.5926502293,0.4073497707,0
Slam Dunk Shot,Dunk,371,20000108,34.0443,0,0,-118.2698,10,4,0,11,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,163,14773,71,91.64,157,47,2,1,2,6,5,8,611,2269,3.5276626177,-6.907755279,3.8066624898,2000,130,0.2761840965,0.7238159035,1
Jump Shot,Jump Shot,2,20000124,33.8503,98,194,-118.1718,11,1,0,42,21,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,166,13184,67,93.81,166,26,4,1,5,5,1,27,702,18,3.5219478619,3.0445700556,5.4764635519,2000,132,0.5614497779,0.4385502221,0
Jump Shot,Jump Shot,24,20000124,34.0463,-168,-2,-118.4378,8,1,0,53,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,168,13184,67,93.81,168,26,4,1,4,5,1,27,533,187,3.527721363,2.7726512203,3.7612001157,2000,134,0.5828294298,0.4171705702,0
Driving Layup Shot,Layup,34,20000124,34.0443,0,0,-118.2698,7,1,0,43,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,170,13184,67,93.81,170,12,5,1,2,6,5,27,463,257,3.5276626177,-6.907755279,3.8066624898,2000,136,0.3439699775,0.6560300225,1
Jump Shot,Jump Shot,79,20000124,33.9283,163,116,-118.1068,1,1,0,5,20,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,173,13184,67,93.81,172,26,4,1,6,5,1,27,65,655,3.5242494744,2.9957822723,5.081404365,2000,138,0.5932350421,0.4067649579,0
Jump Shot,Jump Shot,150,20000124,34.0463,169,-2,-118.1008,6,2,0,27,16,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,175,13184,67,93.81,174,26,4,1,6,5,1,27,387,1053,3.527721363,2.7726512203,3.7612001157,2000,140,0.5906359279,0.4093640721,0
