"action_type","combined_shot_type","game_event_id","game_id","lat","loc_x","loc_y","lon","minutes_remaining","period","playoffs","season","seconds_remaining","shot_distance","shot_made_flag","shot_type","shot_zone_area","shot_zone_basic","shot_zone_range","team_id","team_name","game_date","matchup","opponent","shot_id","attendance","arena_temp","avgnoisedb","rannum","action_type_int","combined_shot_type_int","shot_type_int","shot_zone_are_int","shot_zone_basic_int","shot_zone_range_int","opponent_int","time_remaining_period","game_time","log_lat","log_shot_distance","log_loc_y"
"Layup Shot","Layup",281,20000047,34.0253,-12,19,-118.2818,4,3,0,"2000",29,2,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/4/2000","LAL @ VAN","VAN",45,14081,72,95.09,51,27,5,1,2,6,5,32,269,1891,3.52710436554495,0.693647055601596,4.12713438504509
"Jump Shot","Jump Shot",410,20000047,34.0143,-176,30,-118.4458,3,4,0,"2000",19,17,NA,"2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/4/2000","LAL @ VAN","VAN",50,14081,72,95.09,52,26,4,1,4,5,1,32,199,2681,3.52678102442902,2.83327216585559,4.29045944114839
"Jump Shot","Jump Shot",60,20000049,33.7973,-141,247,-118.4108,4,1,0,"2000",58,28,NA,"3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","11/5/2000","LAL vs. LAC","LAC",55,16092,70,95.2,64,26,4,2,3,1,2,13,298,422,3.52038091764146,3.33224022382318,5.66988092298052
"Jump Shot","Jump Shot",199,20000049,33.8033,146,241,-118.1238,3,2,0,"2000",10,28,NA,"3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","11/5/2000","LAL vs. LAC","LAC",60,16092,70,95.2,65,26,4,2,5,1,2,13,190,1250,3.52055843085926,3.33224022382318,5.64897423816121
"Jump Shot","Jump Shot",397,20000049,33.9533,-10,91,-118.2798,10,4,0,"2000",13,9,NA,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.",1610612747,"Los Angeles Lakers","11/5/2000","LAL vs. LAC","LAC",66,16092,70,95.2,66,26,4,1,2,3,3,13,613,2267,3.52498605104822,2.19733568227495,4.89783979995091
"Jump Shot","Jump Shot",22,20000058,34.0083,-119,36,-118.3888,9,1,0,"2000",6,12,NA,"2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.",1610612747,"Los Angeles Lakers","11/7/2000","LAL @ HOU","HOU",67,16025,70,92.22,80,26,4,1,4,5,3,11,546,174,3.52660461247136,2.4849899796493,4.36944785246702
"Jump Shot","Jump Shot",55,20000058,33.9343,159,110,-118.1108,5,1,0,"2000",15,19,NA,"2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/7/2000","LAL @ HOU","HOU",71,16025,70,92.22,81,26,4,1,6,5,1,11,315,405,3.52442630227242,2.94449160936039,5.03043792139244
"Jump Shot","Jump Shot",313,20000058,33.9973,58,47,-118.2118,11,4,0,"2000",49,7,NA,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/7/2000","LAL @ HOU","HOU",80,16025,70,92.22,82,26,4,1,2,3,5,11,709,2171,3.52628110969817,1.94605299599506,4.49980967033027
"Jump Shot","Jump Shot",20,20000068,33.9743,-29,70,-118.2988,9,1,0,"2000",48,7,NA,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/8/2000","LAL @ SAS","SAS",85,13750,68,93.33,109,26,4,1,2,3,5,28,588,132,3.52560435644011,1.94605299599506,4.72738781871234
"Turnaround Jump Shot","Jump Shot",33,20000068,33.9953,-124,49,-118.3938,7,1,0,"2000",26,13,NA,"2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.",1610612747,"Los Angeles Lakers","11/8/2000","LAL @ SAS","SAS",86,13750,68,93.33,110,55,4,1,4,5,3,28,446,274,3.52622227976666,2.56502627758003,4.52178857704904
"Turnaround Jump Shot","Jump Shot",180,20000068,34.0403,132,4,-118.1378,4,2,0,"2000",25,13,NA,"2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.",1610612747,"Los Angeles Lakers","11/8/2000","LAL @ SAS","SAS",95,13750,68,93.33,111,55,4,1,6,5,3,28,265,1175,3.52754511682732,2.56502627758003,3.85014760171006
"Jump Shot","Jump Shot",286,20000068,33.9073,-101,137,-118.3708,4,3,0,"2000",16,17,NA,"2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/8/2000","LAL @ SAS","SAS",104,13750,68,93.33,112,26,4,1,3,5,1,28,256,1904,3.52363033043728,2.83327216585559,5.19295685089021
"Jump Shot","Jump Shot",418,20000068,33.8943,-151,150,-118.4208,0,4,0,"2000",43,21,NA,"2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/8/2000","LAL @ SAS","SAS",113,13750,68,93.33,113,26,4,1,3,5,1,28,43,2837,3.5232468586561,3.04457005563729,5.26269018890489
"Jump Shot","Jump Shot",217,20000098,33.9913,-155,53,-118.4248,2,2,0,"2000",40,16,NA,"2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/12/2000","LAL vs. HOU","HOU",123,15229,71,95.42,139,26,4,1,4,5,1,11,160,1280,3.52610460951975,2.77265122028674,4.56434819146784
"Running Jump Shot","Jump Shot",261,20000098,33.9113,-96,133,-118.3658,9,3,0,"2000",59,16,NA,"2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/12/2000","LAL vs. HOU","HOU",126,15229,71,95.42,140,41,4,1,3,5,1,11,599,1561,3.52374829217653,2.77265122028674,5.17048399503815
"Reverse Layup Shot","Layup",327,20000098,34.0443,0,0,-118.2698,2,3,0,"2000",56,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/12/2000","LAL vs. HOU","HOU",133,15229,71,95.42,141,34,5,1,2,6,5,11,176,1984,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",492,20000098,34.0083,45,36,-118.2248,1,4,0,"2000",5,5,NA,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/12/2000","LAL vs. HOU","HOU",141,15229,71,95.42,142,26,4,1,2,3,5,11,65,2815,3.52660461247136,1.60963789243677,4.36944785246702
"Jump Shot","Jump Shot",55,20000108,34.0333,237,11,-118.0328,4,1,0,"2000",52,23,NA,"3PT Field Goal","Right Side(R)","Right Corner 3","24+ ft.",1610612747,"Los Angeles Lakers","11/14/2000","LAL vs. DEN","DEN",144,14773,71,91.64,159,26,4,2,6,7,2,8,292,428,3.5273394570701,3.13553769324487,3.98898404656427
"Driving Layup Shot","Layup",120,20000108,34.0443,0,0,-118.2698,10,2,0,"2000",5,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/14/2000","LAL vs. DEN","DEN",150,14773,71,91.64,160,12,5,1,2,6,5,8,605,835,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",179,20000108,33.8753,7,169,-118.2628,4,2,0,"2000",14,16,NA,"2PT Field Goal","Center(C)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/14/2000","LAL vs. DEN","DEN",152,14773,71,91.64,161,26,4,1,2,5,1,8,254,1186,3.52268613524921,2.77265122028674,5.35658627467201
"Driving Layup Shot","Layup",186,20000108,34.0443,0,0,-118.2698,3,2,0,"2000",22,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/14/2000","LAL vs. DEN","DEN",153,14773,71,91.64,162,12,5,1,2,6,5,8,202,1238,3.52766261770137,-6.90775527898214,3.76120011569356
"Tip Shot","Tip Shot",220,20000108,34.0443,0,0,-118.2698,0,2,0,"2000",26,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/14/2000","LAL vs. DEN","DEN",156,14773,71,91.64,163,50,6,1,2,6,5,8,26,1414,3.52766261770137,-6.90775527898214,3.76120011569356
"Reverse Dunk Shot","Dunk",318,20000108,34.0443,0,0,-118.2698,3,3,0,"2000",53,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/14/2000","LAL vs. DEN","DEN",159,14773,71,91.64,164,33,2,1,2,6,5,8,233,1927,3.52766261770137,-6.90775527898214,3.76120011569356
"Dunk Shot","Dunk",418,20000108,34.0443,0,0,-118.2698,5,4,0,"2000",32,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/14/2000","LAL vs. DEN","DEN",165,14773,71,91.64,165,15,2,1,2,6,5,8,332,2548,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",77,20000124,33.8503,70,194,-118.1998,1,1,0,"2000",36,20,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/16/2000","LAL @ SAC","SAC",172,13184,67,93.81,187,26,4,1,5,5,1,27,96,624,3.52194786194826,2.99578227230403,5.46806014113513
"Alley Oop Dunk Shot","Dunk",328,20000124,34.0443,0,0,-118.2698,11,4,0,"2000",44,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/16/2000","LAL @ SAC","SAC",182,13184,67,93.81,188,1,2,1,2,6,5,27,704,2176,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",54,20000140,34.0503,174,-6,-118.0958,6,1,0,"2000",24,17,NA,"2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/18/2000","LAL @ DEN","DEN",192,16017,69,98.64,208,26,4,1,6,5,1,8,384,336,3.5278388431294,2.83327216585559,3.61091791264422
"Driving Layup Shot","Layup",57,20000140,34.0443,0,0,-118.2698,6,1,0,"2000",2,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/18/2000","LAL @ DEN","DEN",193,16017,69,98.64,209,12,5,1,2,6,5,8,362,358,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",100,20000140,34.0403,153,4,-118.1168,0,1,0,"2000",18,15,NA,"2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.",1610612747,"Los Angeles Lakers","11/18/2000","LAL @ DEN","DEN",196,16017,69,98.64,210,26,4,1,6,5,3,8,18,702,3.52754511682732,2.70811686554675,3.85014760171006
"Jump Shot","Jump Shot",256,20000140,33.9783,-162,66,-118.4318,10,3,0,"2000",5,17,NA,"2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/18/2000","LAL @ DEN","DEN",202,16017,69,98.64,211,26,4,1,4,5,1,8,605,1555,3.5257220855632,2.83327216585559,4.69134788222914
"Jump Shot","Jump Shot",411,20000140,33.8883,-214,156,-118.4838,5,4,0,"2000",19,26,NA,"3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","11/18/2000","LAL @ DEN","DEN",210,16017,69,98.64,212,26,4,2,3,1,2,8,319,2561,3.52306982207103,3.25813499882032,5.29330482472449
"Jump Shot","Jump Shot",425,20000140,33.9073,-149,137,-118.4188,3,4,0,"2000",38,20,NA,"2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/18/2000","LAL @ DEN","DEN",211,16017,69,98.64,213,26,4,1,3,5,1,8,218,2662,3.52363033043728,2.99578227230403,5.19295685089021
"Driving Dunk Shot","Dunk",322,20000147,34.0443,0,0,-118.2698,0,3,0,"2000",4,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/19/2000","LAL vs. CHI","CHI",228,15396,70,93.19,235,5,2,1,2,6,5,5,4,2156,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",56,20000180,33.8903,106,154,-118.1638,6,1,0,"2000",22,18,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/24/2000","LAL vs. MIN","MIN",257,15954,71,95.3,271,26,4,1,5,5,1,17,382,338,3.52312883774856,2.89042731190857,5.28320372873799
"Jump Shot","Jump Shot",86,20000180,33.8903,106,154,-118.1638,3,1,0,"2000",25,18,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/24/2000","LAL vs. MIN","MIN",260,15954,71,95.3,272,26,4,1,5,5,1,17,205,515,3.52312883774856,2.89042731190857,5.28320372873799
"Jump Shot","Jump Shot",256,20000180,33.9073,115,137,-118.1548,9,3,0,"2000",18,17,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/24/2000","LAL vs. MIN","MIN",264,15954,71,95.3,273,26,4,1,5,5,1,17,558,1602,3.52363033043728,2.83327216585559,5.19295685089021
"Turnaround Jump Shot","Jump Shot",308,20000180,34.0633,-141,-19,-118.4108,3,3,0,"2000",12,14,NA,"2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.",1610612747,"Los Angeles Lakers","11/24/2000","LAL vs. MIN","MIN",267,15954,71,95.3,274,55,4,1,4,5,3,17,192,1968,3.5282205583862,2.63912875563579,3.17805383034795
"Alley Oop Dunk Shot","Dunk",62,20000198,34.0443,0,0,-118.2698,5,1,0,"2000",17,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","11/27/2000","LAL @ LAC","LAC",279,16833,72,97.43,291,1,2,1,2,6,5,13,317,403,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",207,20000198,33.9033,98,141,-118.1718,2,2,0,"2000",38,17,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","11/27/2000","LAL @ LAC","LAC",282,16833,72,97.43,292,26,4,1,5,5,1,13,158,1282,3.52351235478142,2.83327216585559,5.21493575760899
"Jump Shot","Jump Shot",374,20000198,33.9283,51,116,-118.2188,10,4,0,"2000",39,12,NA,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.",1610612747,"Los Angeles Lakers","11/27/2000","LAL @ LAC","LAC",293,16833,72,97.43,293,26,4,1,2,3,3,13,639,2241,3.52424947438738,2.4849899796493,5.06890420222023
"Running Jump Shot","Jump Shot",171,20000206,33.9383,-65,106,-118.3348,8,2,0,"2000",11,12,NA,"2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.",1610612747,"Los Angeles Lakers","11/28/2000","LAL vs. IND","IND",299,16489,71,94,314,41,4,1,4,3,3,12,491,949,3.52454417016034,2.4849899796493,5.00394630594546
"Turnaround Jump Shot","Jump Shot",203,20000206,33.9383,-115,106,-118.3848,6,2,0,"2000",11,15,NA,"2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.",1610612747,"Los Angeles Lakers","11/28/2000","LAL vs. IND","IND",300,16489,71,94,315,55,4,1,4,5,3,12,371,1069,3.52454417016034,2.70811686554675,5.00394630594546
"Running Jump Shot","Jump Shot",205,20000206,33.9893,-86,55,-118.3558,5,2,0,"2000",47,10,NA,"2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.",1610612747,"Los Angeles Lakers","11/28/2000","LAL vs. IND","IND",301,16489,71,94,316,41,4,1,4,5,3,12,347,1093,3.52604576920352,2.30268508799438,4.58496747867057
"Jump Shot","Jump Shot",439,20000206,33.8273,-117,217,-118.3868,9,4,0,"2000",23,24,NA,"3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","11/28/2000","LAL vs. IND","IND",317,16489,71,94,317,26,4,2,3,1,2,12,563,2317,3.52126816878876,3.17809549614658,5.56068163101553
"Jump Shot","Jump Shot",243,20000222,33.8603,167,184,-118.1028,0,2,0,"2000",28,24,NA,"3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","11/30/2000","LAL @ SEA","SEA",327,14290,71,92.8,332,26,4,2,5,1,2,29,28,1412,3.52224323667755,3.17809549614658,5.4249500174814
"Jump Shot","Jump Shot",254,20000222,34.0253,129,19,-118.1408,10,3,0,"2000",59,13,NA,"2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.",1610612747,"Los Angeles Lakers","11/30/2000","LAL @ SEA","SEA",328,14290,71,92.8,333,26,4,1,6,5,3,29,659,1501,3.52710436554495,2.56502627758003,4.12713438504509
"Layup Shot","Layup",36,20000230,34.0443,0,0,-118.2698,8,1,0,"2000",14,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","12/1/2000","LAL vs. SAS","SAS",335,14925,70,93.42,362,27,5,1,2,6,5,28,494,226,3.52766261770137,-6.90775527898214,3.76120011569356
"Running Jump Shot","Jump Shot",208,20000230,33.9893,-16,55,-118.2858,3,2,0,"2000",14,5,NA,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.",1610612747,"Los Angeles Lakers","12/1/2000","LAL vs. SAS","SAS",346,14925,70,93.42,363,41,4,1,2,3,5,28,194,1246,3.52604576920352,1.60963789243677,4.58496747867057
"Jump Shot","Jump Shot",267,20000230,33.9763,26,68,-118.2438,10,3,0,"2000",15,7,NA,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.",1610612747,"Los Angeles Lakers","12/1/2000","LAL vs. SAS","SAS",348,14925,70,93.42,364,26,4,1,2,3,5,28,615,1545,3.52566322273417,1.94605299599506,4.70953020131233
"Jump Shot","Jump Shot",4,20000246,33.8633,-16,181,-118.2858,11,1,0,"2000",18,18,NA,"2PT Field Goal","Center(C)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","12/3/2000","LAL vs. DAL","DAL",365,16383,70,100.43,389,26,4,1,2,5,1,7,678,42,3.52233183208601,2.89042731190857,5.41164605185504
"Driving Layup Shot","Layup",428,20000246,34.0443,0,0,-118.2698,4,4,0,"2000",16,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","12/3/2000","LAL vs. DAL","DAL",390,16383,70,100.43,390,12,5,1,2,6,5,7,256,2624,3.52766261770137,-6.90775527898214,3.76120011569356
"Driving Layup Shot","Layup",466,20000246,34.0443,0,0,-118.2698,1,4,0,"2000",14,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","12/3/2000","LAL vs. DAL","DAL",391,16383,70,100.43,391,12,5,1,2,6,5,7,74,2806,3.52766261770137,-6.90775527898214,3.76120011569356
"Running Jump Shot","Jump Shot",473,20000246,34.0333,-73,11,-118.3428,0,4,0,"2000",41,7,NA,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.",1610612747,"Los Angeles Lakers","12/3/2000","LAL vs. DAL","DAL",392,16383,70,100.43,392,41,4,1,2,3,5,7,41,2839,3.5273394570701,1.94605299599506,3.98898404656427
"Jump Shot","Jump Shot",99,20000258,33.7973,117,247,-118.1528,1,1,0,"2000",27,27,NA,"3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","12/5/2000","LAL vs. PHI","PHI",397,15437,72,91.39,419,26,4,2,5,1,2,24,87,633,3.52038091764146,3.29587390235551,5.66988092298052
"Jump Shot","Jump Shot",439,20000258,33.8633,153,181,-118.1168,4,4,0,"2000",16,23,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","12/5/2000","LAL vs. PHI","PHI",418,15437,72,91.39,420,26,4,1,5,5,1,24,256,2624,3.52233183208601,3.13553769324487,5.41164605185504
"Jump Shot","Jump Shot",106,20000267,34.0443,-147,0,-118.4168,0,1,0,"2000",0,14,NA,"2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.",1610612747,"Los Angeles Lakers","12/6/2000","LAL @ GSW","GSW",428,14931,67,93.95,452,26,4,1,4,5,3,10,0,720,3.52766261770137,2.63912875563579,3.76120011569356
"Turnaround Jump Shot","Jump Shot",201,20000267,33.9783,-60,66,-118.3298,0,2,0,"2000",33,8,NA,"2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.",1610612747,"Los Angeles Lakers","12/6/2000","LAL @ GSW","GSW",434,14931,67,93.95,453,55,4,1,4,3,3,10,33,1407,3.5257220855632,2.07956653386799,4.69134788222914
"Layup Shot","Layup",250,20000267,34.0443,0,0,-118.2698,8,3,0,"2000",25,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","12/6/2000","LAL @ GSW","GSW",439,14931,67,93.95,454,27,5,1,2,6,5,10,505,1655,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",267,20000267,33.8163,96,228,-118.1738,6,3,0,"2000",37,24,NA,"3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","12/6/2000","LAL @ GSW","GSW",440,14931,67,93.95,455,26,4,2,5,1,2,10,397,1763,3.52094293476524,3.17809549614658,5.6021188208797
"Jump Shot","Jump Shot",2,20000280,33.9113,-86,133,-118.3558,11,1,0,"2000",43,15,NA,"2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.",1610612747,"Los Angeles Lakers","12/8/2000","LAL vs. SEA","SEA",456,15402,66,96.36,477,26,4,1,4,5,3,29,703,17,3.52374829217653,2.70811686554675,5.17048399503815
"Jump Shot","Jump Shot",55,20000280,34.0103,60,34,-118.2098,6,1,0,"2000",24,6,NA,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.",1610612747,"Los Angeles Lakers","12/8/2000","LAL vs. SEA","SEA",459,15402,66,96.36,478,26,4,1,2,3,5,29,384,336,3.52666341991522,1.79192612200738,4.34380542185368
"Jump Shot","Jump Shot",283,20000280,33.8733,117,171,-118.1528,7,3,0,"2000",35,20,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","12/8/2000","LAL vs. SEA","SEA",472,15402,66,96.36,479,26,4,1,5,5,1,29,455,1705,3.52262709343874,2.99578227230403,5.36597601502185
"Jump Shot","Jump Shot",477,20000280,34.0403,-101,4,-118.3708,1,4,0,"2000",43,10,NA,"2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.",1610612747,"Los Angeles Lakers","12/8/2000","LAL vs. SEA","SEA",480,15402,66,96.36,480,26,4,1,4,5,3,29,103,2777,3.52754511682732,2.30268508799438,3.85014760171006
"Jump Shot","Jump Shot",226,20000297,33.8183,153,226,-118.1168,1,2,0,"2000",19,27,NA,"3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","12/10/2000","LAL vs. DET","DET",491,14703,71,96.15,500,26,4,2,5,1,2,9,79,1361,3.52100207609233,3.29587390235551,5.59471137960184
